Date	US Dollar (Trade-weighted Exchange Rate Index)	Japanese Yen (Yen Per Dollar)	Chinese Yuan (Yuan Per Dollar)	Euro (Dollars Per Euro)	UK Pound (Dollars Per Pound)	Canadian Dollar (Loonies Per Dollar)	Mexican Peso (Pesos Per Dollar)
2014-01-01	102.65	103.76	6.05	1.36	1.65	1.09	13.22
2014-02-01	102.90	102.13	6.08	1.37	1.66	1.11	13.29
2014-03-01	102.82	102.34	6.17	1.38	1.66	1.11	13.19
2014-04-01	102.43	102.46	6.22	1.38	1.67	1.10	13.07
2014-05-01	102.11	101.77	6.24	1.37	1.68	1.09	12.93
2014-06-01	102.26	102.06	6.23	1.36	1.69	1.08	12.99
2014-07-01	102.02	101.74	6.20	1.35	1.71	1.07	12.99
2014-08-01	102.93	102.94	6.15	1.33	1.67	1.09	13.14
2014-09-01	104.48	107.43	6.14	1.29	1.63	1.10	13.24
2014-10-01	105.82	108.03	6.13	1.27	1.61	1.12	13.48
2014-11-01	107.62	116.30	6.12	1.25	1.58	1.13	13.61
2014-12-01	110.21	119.32	6.19	1.23	1.56	1.15	14.52
2015-01-01	112.58	118.25	6.22	1.16	1.51	1.21	14.70
2015-02-01	114.03	118.76	6.25	1.14	1.53	1.25	14.92
2015-03-01	116.11	120.39	6.24	1.08	1.50	1.26	15.24
2015-04-01	114.94	119.51	6.20	1.08	1.50	1.23	15.19
2015-05-01	114.06	120.80	6.20	1.12	1.55	1.22	15.28
2015-06-01	114.94	123.72	6.21	1.12	1.56	1.24	15.48
2015-07-01	116.92	123.31	6.21	1.10	1.56	1.29	15.95
2015-08-01	119.11	123.00	6.34	1.11	1.56	1.31	16.53
2015-09-01	120.01	120.15	6.37	1.12	1.53	1.33	16.84
2015-10-01	118.97	120.05	6.35	1.12	1.53	1.31	16.57
2015-11-01	120.77	122.64	6.36	1.07	1.52	1.33	16.63
2015-12-01	122.00	121.64	6.45	1.09	1.50	1.37	17.07
2016-01-01	124.66	118.23	6.57	1.09	1.44	1.42	18.06
2016-02-01	123.63	114.62	6.55	1.11	1.43	1.38	18.43
2016-03-01	121.12	112.93	6.50	1.11	1.42	1.32	17.63
2016-04-01	119.17	109.55	6.48	1.13	1.43	1.28	17.48
2016-05-01	120.43	108.85	6.53	1.13	1.45	1.29	18.14
2016-06-01	120.87	105.35	6.59	1.12	1.42	1.29	18.65
2016-07-01	121.70	104.19	6.68	1.11	1.31	1.31	18.62
2016-08-01	120.57	101.24	6.65	1.12	1.31	1.30	18.47
2016-09-01	121.51	101.78	6.67	1.12	1.31	1.31	19.24
2016-10-01	122.64	103.91	6.73	1.10	1.23	1.33	18.89
2016-11-01	125.55	108.44	6.84	1.08	1.24	1.34	20.01
2016-12-01	127.53	116.00	6.92	1.05	1.25	1.33	20.50
2017-01-01	127.36	114.87	6.89	1.06	1.24	1.32	21.39
2017-02-01	125.57	112.91	6.87	1.07	1.25	1.31	20.30
2017-03-01	125.04	112.92	6.89	1.07	1.23	1.34	19.28
2017-04-01	124.12	110.09	6.89	1.07	1.26	1.34	18.77
2017-05-01	123.63	112.24	6.88	1.11	1.29	1.36	18.77
2017-06-01	122.02	110.91	6.81	1.12	1.28	1.33	18.13
2017-07-01	120.35	112.42	6.77	1.15	1.30	1.27	17.81
2017-08-01	119.03	109.83	6.67	1.18	1.30	1.26	17.80
2017-09-01	117.90	110.78	6.57	1.19	1.33	1.23	17.83
2017-10-01	120.02	112.91	6.63	1.18	1.32	1.26	18.82
2017-11-01	120.25	112.82	6.62	1.17	1.32	1.28	18.93
2017-12-01	119.93	112.94	6.59	1.18	1.34	1.28	19.18
2018-01-01	117.19	110.87	6.42	1.22	1.38	1.24	18.91
2018-02-01	117.55	107.97	6.32	1.23	1.40	1.26	18.65
2018-03-01	118.09	106.05	6.32	1.23	1.40	1.29	18.59
2018-04-01	118.15	107.66	6.30	1.23	1.41	1.27	18.39
2018-05-01	121.43	109.69	6.37	1.18	1.35	1.29	19.55
2018-06-01	123.42	110.06	6.47	1.17	1.33	1.31	20.29
2018-07-01	124.06	111.52	6.72	1.17	1.32	1.31	18.99
2018-08-01	125.33	111.00	6.85	1.15	1.29	1.30	18.86
2018-09-01	126.04	112.10	6.86	1.17	1.31	1.30	19.00
2018-10-01	126.88	112.72	6.92	1.15	1.30	1.30	19.20
2018-11-01	128.30	113.34	6.94	1.14	1.29	1.32	20.24
2018-12-01	128.52	112.20	6.88	1.14	1.27	1.34	20.10
2019-01-01	126.71	108.96	6.79	1.14	1.29	1.33	19.17
2019-02-01	126.82	110.44	6.74	1.13	1.30	1.32	19.20
2019-03-01	126.56	111.89	6.70	1.14	1.32	1.33	19.31
2019-04-01	127.48	111.29	6.71	1.12	1.31	1.33	19.21
2019-05-01	127.97	111.18	6.73	1.12	1.31	1.34	18.85
2019-06-01	129.16	108.39	6.90	1.12	1.26	1.35	19.77
2019-07-01	127.47	108.42	6.88	1.13	1.26	1.31	19.04
2019-08-01	128.31	108.28	6.90	1.11	1.21	1.32	19.17
2019-09-01	131.03	105.88	7.18	1.10	1.21	1.33	19.99
2019-10-01	131.34	107.70	7.15	1.09	1.22	1.32	19.78
2019-11-01	129.44	108.16	7.04	1.12	1.30	1.31	19.10
2019-12-01	130.40	109.47	7.03	1.10	1.29	1.33	19.54
	
